id,competition_id,skater_name,nation,rank,program_type,category,total_score,tes_score,pcs_score,deductions
77,1,Ruiyang ZHANG,CHN,7,Free,Women,117.83,61.76,56.07,0.0
78,1,Anna PEZZETTA,ITA,8,Free,Women,116.45,57.12,59.33,0.0
79,1,Hana YOSHIDA,JPN,9,Free,Women,115.07,57.68,58.39,-1.0
80,1,Haein LEE,KOR,10,Free,Women,111.86,53.56,59.3,-1.0
81,1,Yi ZHU,CHN,11,Free,Women,99.27,48.91,52.36,-2.0
82,1,Alysa LIU,USA,1,Short,Women,74.61,40.65,33.96,0.0
83,1,Rinka WATANABE,JPN,2,Short,Women,74.01,41.56,32.45,0.0
84,1,Amber GLENN,USA,3,Short,Women,73.04,39.69,33.35,0.0
85,1,Jia SHIN,KOR,4,Short,Women,68.01,36.56,31.45,0.0
86,1,Anastasiia GUBANOVA,GEO,5,Short,Women,66.28,33.98,32.3,0.0
87,1,Rino MATSUIKE,JPN,6,Short,Women,65.91,35.59,30.32,0.0
88,1,Haein LEE,KOR,7,Short,Women,65.46,34.68,30.78,0.0
89,1,Yi ZHU,CHN,8,Short,Women,63.39,35.36,28.03,0.0
90,1,Anna PEZZETTA,ITA,9,Short,Women,61.89,33.1,29.79,-1.0
91,1,Ruiyang ZHANG,CHN,10,Short,Women,61.71,34.51,27.2,0.0
92,1,Hana YOSHIDA,JPN,11,Short,Women,61.47,30.63,30.84,0.0
93,2,Ilia MALININ,USA,1,Free,Men,228.97,138.49,90.48,0.0
94,2,Aleksandr SELEVKO,EST,2,Free,Men,165.93,84.97,81.96,-1.0
95,2,Kao MIURA,JPN,3,Free,Men,163.89,83.84,80.05,0.0
96,2,Nika EGADZE,GEO,4,Free,Men,162.03,87.41,75.62,-1.0
97,2,Kazuki TOMONO,JPN,5,Free,Men,159.39,81.0,80.39,-2.0
98,2,Roman SADOVSKY,CAN,6,Free,Men,155.65,78.27,78.38,-1.0
99,2,Nikolaj MEMOLA,ITA,7,Free,Men,151.75,80.28,71.47,0.0
100,2,Stephen GOGOLEV,CAN,8,Free,Men,150.35,77.69,72.66,0.0
101,2,Tomoki HIWATASHI,USA,9,Free,Men,146.26,74.17,72.09,0.0
102,2,Vladimir SAMOILOV,POL,10,Free,Men,144.58,73.45,71.13,0.0
103,2,Kevin AYMOZ,FRA,11,Free,Men,142.64,66.51,80.13,-4.0
104,2,Aleksa RAKIC,CAN,12,Free,Men,141.4,74.67,66.73,0.0
105,2,Ilia MALININ,USA,1,Short,Men,104.84,59.81,45.03,0.0
106,2,Kazuki TOMONO,JPN,2,Short,Men,92.07,50.39,41.68,0.0
107,2,Aleksandr SELEVKO,EST,3,Short,Men,91.28,50.83,40.45,0.0
108,2,Kao MIURA,JPN,4,Short,Men,89.8,49.54,40.26,0.0
109,2,Kevin AYMOZ,FRA,5,Short,Men,87.46,43.55,43.91,0.0
110,2,Nikolaj MEMOLA,ITA,6,Short,Men,86.45,49.11,37.34,0.0
111,2,Stephen GOGOLEV,CAN,7,Short,Men,86.13,48.55,37.58,0.0
112,2,Nika EGADZE,GEO,8,Short,Men,85.92,45.91,40.01,0.0
113,2,Tomoki HIWATASHI,USA,9,Short,Men,84.32,46.93,37.39,0.0
114,2,Roman SADOVSKY,CAN,10,Short,Men,81.08,43.0,39.08,-1.0
115,2,Vladimir SAMOILOV,POL,11,Short,Men,80.75,43.95,36.8,0.0
116,2,Aleksa RAKIC,CAN,12,Short,Men,75.5,40.8,34.7,0.0
117,2,Mone CHIBA,JPN,1,Free,Women,144.94,73.81,71.13,0.0
118,2,Isabeau LEVITO,USA,2,Free,Women,137.97,66.94,71.03,0.0
119,2,Ami NAKAI,JPN,3,Free,Women,136.54,70.17,66.37,0.0
120,2,Bradie TENNELL,USA,4,Free,Women,129.52,65.15,64.37,0.0
121,2,Lara Naki GUTMANN,ITA,5,Free,Women,123.94,60.75,64.19,-1.0
122,2,Yuna AOKI,JPN,6,Free,Women,118.27,54.13,65.14,-1.0
