id,performance_id,element_index,element_name,base_value,goe,panel_score,judges_scores,is_bonus
863,90,6,CCoSp4,3.5,0.45,3.95,"0,1,0,2,1,2,2,3,1",False
864,90,7,LSp4,2.7,0.35,3.05,"0,0,2,2,2,2,1,3,0",False
865,91,1,3S+3T,8.5,0.86,9.36,"2,2,2,2,2,2,2,2,2",False
866,91,2,2A,3.3,0.47,3.77,"0,2,2,1,1,2,1,1,2",False
867,91,3,CCoSp4,3.5,0.8,4.3,"2,3,2,2,2,2,2,3,3",False
868,91,4,3F,5.83,0.76,6.59,"1,1,2,1,1,1,2,2,2",True
869,91,5,StSq4,3.9,0.67,4.57,"1,2,2,1,1,2,2,3,2",False
870,91,6,FCSp3,2.8,-0.12,2.68,"-1,1,0,0,-2,-1,-3,1,0",False
871,91,7,LSp4,2.7,0.54,3.24,"2,2,2,1,2,3,2,2,2",False
872,92,1,2A,3.3,0.66,3.96,"2,2,2,2,2,2,2,2,2",False
873,92,2,3Lzq+3T<,9.26,-2.36,6.9,"-5,-4,-4,-4,-4,-4,-4,-4,-3",False
874,92,3,FSSp4,3.0,0.26,3.26,"1,1,2,0,1,-1,1,1,1",False
875,92,4,3Loq,5.39,-0.91,4.48,"-2,-2,-1,-2,-2,-2,-2,-2,-1",True
876,92,5,CCoSp4,3.5,0.8,4.3,"2,2,3,2,0,2,2,3,3",False
877,92,6,CSp4,2.6,0.45,3.05,"1,2,3,1,1,2,1,2,3",False
878,92,7,StSq4,3.9,0.78,4.68,"1,1,2,2,2,3,2,2,3",False
879,93,1,4F,11.0,4.4,15.4,"4,4,5,4,3,4,4,4,4",False
880,93,2,3A,8.0,3.2,11.2,"3,5,4,5,4,4,5,3,3",False
881,93,3,4Lz,11.5,4.11,15.61,"3,3,4,3,3,4,4,5,4",False
882,93,4,4Lo,10.5,3.45,13.95,"3,3,4,4,3,3,4,3,3",False
883,93,5,CCSp4,3.2,0.96,4.16,"4,3,3,3,3,3,3,3,2",False
884,93,6,StSq3,3.3,1.04,4.34,"3,4,3,3,4,3,3,3,3",False
885,93,7,4Lz+1Eu+3F,19.03,4.11,23.14,"3,4,4,3,3,4,4,4,3",True
886,93,8,4T+3T,15.07,1.9,16.97,"2,2,3,2,2,1,2,2,2",True
887,93,9,4S+3A+SEQ,19.47,1.8,21.27,"2,3,3,2,2,2,1,1,1",True
888,93,10,ChSq1,3.0,2.0,5.0,"4,4,4,3,5,4,4,5,3",False
889,93,11,FSSp3,2.6,0.45,3.05,"2,1,1,3,2,2,1,3,1",False
890,93,12,CCoSp4,3.5,0.9,4.4,"2,3,3,3,3,1,2,3,2",False
891,94,1,4Lz,11.5,3.45,14.95,"3,3,3,3,3,3,4,3,3",False
892,94,2,4T,9.5,1.09,10.59,"1,1,1,2,1,1,2,1,1",False
893,94,3,3A,8.0,2.4,10.4,"3,3,3,3,3,3,3,3,2",False
894,94,4,3F!+2T,6.6,0.0,6.6,"-1,0,-2,0,1,0,-1,1,1",False
895,94,5,CCSp4,3.2,0.87,4.07,"3,3,2,2,2,3,3,3,4",False
896,94,6,3A<+REPF<,4.48,-3.2,1.28,"-5,-5,-5,-5,-5,-5,-5,-5,-5",False
897,94,7,3Lz+2A+2A+SEQ,13.75,1.1,14.85,"2,2,-1,2,2,2,2,1,2",True
898,94,8,3F!,5.83,-0.38,5.45,"-1,0,-1,-1,-1,-1,-2,0,0",True
899,94,9,FSSp4,3.0,0.6,3.6,"2,2,2,2,2,2,2,3,2",False
900,94,10,StSq3,3.3,1.08,4.38,"3,4,2,4,3,3,3,4,3",False
901,94,11,ChSq1,3.0,1.5,4.5,"4,3,2,3,3,3,3,3,3",False
902,94,12,CCoSp4,3.5,0.8,4.3,"3,2,2,2,2,2,3,3,2",False
903,95,1,4Lo,10.5,3.3,13.8,"2,3,3,3,3,4,4,3,3",False
904,95,2,4S,9.7,1.25,10.95,"1,2,1,2,1,1,3,1,0",False
905,95,3,4T+3T,13.7,0.95,14.65,"1,1,1,2,1,-1,2,0,1",False
906,95,4,FCSp4,3.2,0.46,3.66,"2,2,1,2,0,2,1,1,1",False
907,95,5,StSq3,3.3,0.99,4.29,"3,3,2,3,3,3,3,3,3",False
908,95,6,4T,9.5,-2.31,7.19,"-3,-3,-2,-2,-2,-2,-3,-3,-2",False
909,95,7,3A<+1Eu+3S<,11.37,-3.02,8.35,"-5,-5,-4,-5,-5,-4,-4,-5,-5",True
910,95,8,3A<,7.04,-3.02,4.02,"-5,-5,-4,-5,-5,-4,-4,-5,-5",True
911,95,9,ChSq1,3.0,0.64,3.64,"1,1,2,3,0,2,1,2,0",False
