id,performance_id,component_index,component_name,factor,panel_score,judges_scores
49,17,1,Composition,1.67,7.75,"8.25,8.25,7.75,7.75,8.00,7.25,7.00,7.50,7.75"
50,17,2,Presentation,1.67,7.68,"8.25,8.00,7.50,7.75,8.50,7.00,7.25,7.25,7.75"
51,17,3,Skating Skills,1.67,7.75,"8.00,8.25,7.50,7.50,8.25,7.50,7.50,7.50,8.00"
52,18,1,Composition,1.67,7.43,"8.00,7.25,7.50,7.75,7.50,7.50,7.25,7.25,7.25"
53,18,2,Presentation,1.67,7.5,"7.50,7.50,7.75,7.75,8.00,7.50,7.50,7.00,7.00"
54,18,3,Skating Skills,1.67,7.5,"7.75,7.25,7.50,7.50,7.75,7.25,7.50,7.50,7.50"
55,19,1,Composition,1.67,8.36,"8.50,8.50,8.25,8.50,8.75,8.00,8.00,7.50,8.75"
56,19,2,Presentation,1.67,8.32,"8.50,8.50,8.25,8.25,8.25,8.25,8.25,7.50,8.50"
57,19,3,Skating Skills,1.67,8.29,"8.25,8.25,8.50,8.50,8.50,8.00,8.00,7.75,8.75"
58,20,1,Composition,1.67,6.93,"6.75,7.25,6.50,7.00,7.25,6.75,7.00,6.75,7.00"
59,20,2,Presentation,1.67,6.93,"7.25,7.25,6.75,7.00,7.75,6.75,6.75,6.75,6.75"
60,20,3,Skating Skills,1.67,7.14,"7.25,7.00,6.75,7.25,7.50,7.00,7.00,7.25,7.25"
61,21,1,Composition,1.67,7.54,"7.50,7.25,8.00,8.00,8.00,7.25,7.25,7.50,7.25"
62,21,2,Presentation,1.67,7.43,"7.25,7.00,7.75,7.50,7.75,7.75,7.25,7.50,6.75"
63,21,3,Skating Skills,1.67,7.64,"7.50,7.25,8.00,8.00,8.00,7.25,7.50,7.75,7.50"
64,22,1,Composition,1.67,6.14,"6.00,6.75,6.00,6.00,6.50,5.75,6.25,6.50,5.75"
65,22,2,Presentation,1.67,6.29,"6.25,6.50,6.25,6.25,6.75,5.75,6.75,6.25,5.50"
66,22,3,Skating Skills,1.67,6.43,"6.75,7.25,6.50,6.00,6.25,6.25,6.50,6.50,6.25"
67,23,1,Composition,1.67,7.68,"7.25,8.25,8.25,7.00,7.50,8.00,7.50,7.50,7.75"
