id,performance_id,component_index,component_name,factor,panel_score,judges_scores
241,81,1,Composition,2.67,6.54,"6.50,6.00,6.00,7.00,6.50,6.75,6.00,7.00,7.50"
242,81,2,Presentation,2.67,6.43,"6.25,6.50,6.00,6.75,6.50,6.25,5.50,6.75,7.25"
243,81,3,Skating Skills,2.67,6.64,"6.50,6.50,6.25,6.50,7.00,6.50,6.75,6.75,7.25"
244,82,1,Composition,1.33,8.5,"8.25,8.75,8.25,8.50,8.75,8.50,8.00,9.00,8.50"
245,82,2,Presentation,1.33,8.57,"8.50,9.25,8.50,8.50,8.50,8.75,8.25,8.75,8.50"
246,82,3,Skating Skills,1.33,8.46,"8.50,9.00,8.50,8.25,8.50,8.50,8.00,8.50,8.50"
247,83,1,Composition,1.33,8.04,"8.00,8.25,7.75,8.25,8.50,7.75,7.25,8.25,8.00"
248,83,2,Presentation,1.33,8.18,"8.00,8.75,8.25,8.00,8.25,8.25,8.00,8.50,8.00"
249,83,3,Skating Skills,1.33,8.18,"8.25,8.75,8.00,8.25,8.50,8.00,8.00,8.00,8.25"
250,84,1,Composition,1.33,8.36,"8.25,8.50,8.25,8.75,8.50,7.75,8.25,8.50,8.25"
251,84,2,Presentation,1.33,8.32,"8.25,8.50,8.00,8.25,8.25,8.00,8.50,9.00,8.50"
252,84,3,Skating Skills,1.33,8.39,"8.50,8.50,8.25,8.50,8.25,8.00,8.25,8.75,8.50"
253,85,1,Composition,1.33,8.0,"8.00,8.25,7.75,7.75,8.00,7.25,7.75,8.50,8.50"
254,85,2,Presentation,1.33,7.79,"7.50,8.25,7.25,7.50,7.50,7.50,8.25,8.00,8.50"
255,85,3,Skating Skills,1.33,7.86,"8.00,8.00,7.50,7.75,7.75,7.25,7.75,8.25,8.50"
256,86,1,Composition,1.33,8.04,"8.25,7.50,7.75,8.25,8.50,7.50,7.75,8.50,8.25"
257,86,2,Presentation,1.33,8.18,"8.25,7.75,7.50,8.50,8.25,7.75,8.25,8.50,8.50"
258,86,3,Skating Skills,1.33,8.07,"8.25,8.00,7.75,8.25,8.25,7.25,7.75,8.25,8.25"
259,87,1,Composition,1.33,7.54,"7.50,8.00,7.25,7.75,7.75,7.50,7.25,7.50,7.50"
260,87,2,Presentation,1.33,7.5,"7.50,7.75,7.25,8.25,7.50,7.25,8.00,7.25,7.25"
261,87,3,Skating Skills,1.33,7.75,"7.75,8.00,7.75,7.75,7.75,7.50,8.25,7.75,7.50"
262,88,1,Composition,1.33,7.61,"7.25,8.00,7.50,7.75,7.50,7.50,7.50,8.00,7.50"
263,88,2,Presentation,1.33,7.86,"7.50,8.25,7.50,8.00,7.75,8.00,7.75,8.25,7.75"
264,88,3,Skating Skills,1.33,7.68,"7.25,7.75,7.75,7.50,7.75,7.75,7.75,7.75,7.50"
265,89,1,Composition,1.33,6.96,"7.00,7.25,6.75,7.50,6.50,6.50,6.75,7.00,7.50"
266,89,2,Presentation,1.33,7.11,"6.75,7.50,7.00,7.25,6.50,7.00,7.00,7.25,7.50"
267,89,3,Skating Skills,1.33,7.0,"7.00,7.50,6.75,7.00,6.75,6.75,7.25,6.75,7.50"
268,90,1,Composition,1.33,7.5,"7.75,7.50,7.25,7.25,7.50,7.00,7.50,8.00,7.75"
269,90,2,Presentation,1.33,7.32,"7.50,7.25,7.00,7.00,7.25,7.00,8.00,7.75,7.50"
270,90,3,Skating Skills,1.33,7.57,"7.75,7.75,7.25,7.25,7.50,7.25,7.75,8.00,7.75"
271,91,1,Composition,1.33,6.89,"7.25,7.50,6.50,6.75,6.50,6.75,6.50,7.25,7.25"
272,91,2,Presentation,1.33,6.86,"6.75,7.50,6.50,7.00,6.50,6.25,7.00,7.00,7.25"
273,91,3,Skating Skills,1.33,6.71,"6.50,7.50,6.75,6.75,6.25,6.50,6.50,6.75,7.25"
274,92,1,Composition,1.33,7.79,"7.75,8.00,8.00,7.75,7.00,7.75,7.75,8.25,7.50"
275,92,2,Presentation,1.33,7.79,"8.00,7.75,7.75,8.00,7.25,7.75,7.50,8.50,7.75"
276,92,3,Skating Skills,1.33,7.61,"7.75,7.75,8.00,7.50,7.25,7.50,7.25,7.75,7.75"
277,93,1,Composition,3.33,8.96,"8.50,9.25,9.50,9.00,8.75,9.25,8.00,8.75,9.25"
278,93,2,Presentation,3.33,9.07,"8.75,9.00,9.25,9.25,9.25,9.00,8.25,9.50,9.00"
279,93,3,Skating Skills,3.33,9.14,"9.50,9.50,9.50,9.00,9.00,9.00,8.75,9.00,9.00"
280,94,1,Composition,3.33,8.0,"8.00,8.50,7.50,8.75,7.50,8.75,7.50,8.00,7.75"
281,94,2,Presentation,3.33,8.29,"8.50,8.75,7.25,9.25,7.75,8.50,7.50,8.75,8.25"
282,94,3,Skating Skills,3.33,8.32,"8.50,8.75,7.75,8.75,8.00,8.50,7.75,8.50,8.25"
283,95,1,Composition,3.33,7.89,"7.75,8.50,7.75,8.25,8.00,8.00,6.25,7.50,8.00"
284,95,2,Presentation,3.33,7.86,"8.00,8.25,7.25,8.50,7.75,8.25,6.50,7.50,8.00"
285,95,3,Skating Skills,3.33,8.29,"8.50,8.75,7.50,8.50,8.25,8.75,7.50,8.00,8.50"
286,96,1,Composition,3.33,7.43,"7.75,8.25,6.50,7.00,7.50,8.00,6.25,7.00,8.25"
287,96,2,Presentation,3.33,7.57,"8.00,8.25,6.00,7.50,7.25,7.75,6.75,7.75,8.00"
288,96,3,Skating Skills,3.33,7.71,"8.25,8.00,6.75,8.00,7.75,8.25,7.25,7.00,7.75"
289,97,1,Composition,3.33,8.0,"8.50,8.25,7.75,8.50,7.75,8.50,7.00,6.50,8.25"
290,97,2,Presentation,3.33,7.93,"8.50,8.00,7.50,8.00,8.25,8.25,6.50,7.00,8.50"
291,97,3,Skating Skills,3.33,8.21,"8.25,8.00,8.50,8.25,8.75,8.50,7.75,8.00,8.00"
292,98,1,Composition,3.33,7.61,"7.50,7.50,7.75,7.00,7.75,7.50,7.75,7.50,7.75"
293,98,2,Presentation,3.33,8.04,"8.00,8.25,7.50,6.75,8.50,8.00,7.75,8.50,8.25"
294,98,3,Skating Skills,3.33,7.89,"7.75,8.00,7.75,7.50,8.25,8.25,7.50,8.00,8.00"
295,99,1,Composition,3.33,6.96,"7.25,7.25,6.50,7.50,7.25,7.25,6.50,6.50,6.75"
296,99,2,Presentation,3.33,7.32,"7.50,7.50,6.75,7.00,7.50,7.50,6.50,7.50,7.50"
297,99,3,Skating Skills,3.33,7.18,"7.25,7.25,6.50,8.00,7.25,7.75,7.00,6.75,7.00"
298,100,1,Composition,3.33,7.18,"7.25,8.00,6.75,7.50,7.25,7.50,6.75,7.00,7.00"
299,100,2,Presentation,3.33,7.18,"7.50,8.25,6.25,7.25,7.75,7.00,7.00,6.75,7.00"
300,100,3,Skating Skills,3.33,7.46,"7.75,8.25,6.75,7.75,7.50,7.50,7.25,7.25,7.25"
301,101,1,Composition,3.33,7.04,"7.25,7.75,6.75,7.25,7.00,7.75,5.75,7.00,6.25"
302,101,2,Presentation,3.33,7.36,"7.50,8.00,7.50,7.50,7.50,7.50,0.50,7.25,6.75"
303,101,3,Skating Skills,3.33,7.25,"7.50,7.50,7.00,7.75,7.25,7.50,7.25,6.75,6.75"
304,102,1,Composition,3.33,6.82,"7.00,7.25,6.50,6.75,7.25,8.25,6.00,5.75,7.00"
305,102,2,Presentation,3.33,7.0,"7.50,7.50,6.25,7.25,7.00,7.75,5.75,6.25,7.25"
306,102,3,Skating Skills,3.33,7.54,"7.25,7.75,7.50,7.50,7.50,7.75,7.50,7.50,7.50"
307,103,1,Composition,3.33,7.96,"8.25,8.00,7.75,7.50,8.25,8.00,8.50,7.50,8.00"
308,103,2,Presentation,3.33,8.14,"8.25,7.75,8.25,8.25,8.00,7.50,8.50,8.00,8.50"
309,103,3,Skating Skills,3.33,7.96,"7.75,8.25,7.50,8.00,8.50,8.25,7.75,7.75,8.00"
310,104,1,Composition,3.33,6.43,"6.75,7.00,6.75,6.25,6.25,6.25,6.00,5.50,6.75"
311,104,2,Presentation,3.33,6.57,"7.00,6.75,6.25,6.00,6.75,6.50,6.25,6.50,7.00"
312,104,3,Skating Skills,3.33,7.04,"7.25,7.25,7.25,6.75,6.50,6.75,7.00,7.00,7.25"
313,105,1,Composition,1.67,9.07,"9.25,9.25,9.25,9.00,8.25,8.75,9.00,9.00,9.25"
314,105,2,Presentation,1.67,9.0,"9.25,9.00,9.25,8.50,8.75,9.00,9.25,8.50,9.25"
315,105,3,Skating Skills,1.67,8.89,"9.00,9.25,9.50,9.00,8.75,8.50,8.75,8.75,8.75"
316,106,1,Composition,1.67,8.14,"8.25,8.75,8.25,8.50,8.50,8.00,7.00,7.00,8.50"
317,106,2,Presentation,1.67,8.43,"8.25,8.75,8.50,8.25,9.00,8.25,7.50,8.50,8.50"
318,106,3,Skating Skills,1.67,8.39,"8.00,8.50,8.50,8.50,8.75,8.50,8.00,8.50,8.25"
319,107,1,Composition,1.67,7.82,"8.00,8.25,7.00,8.00,7.25,8.50,7.25,8.25,7.75"
320,107,2,Presentation,1.67,8.36,"8.50,8.50,7.75,8.50,8.25,8.75,7.75,9.00,8.25"
321,107,3,Skating Skills,1.67,8.04,"7.75,8.50,7.25,8.25,8.00,8.25,7.50,8.50,8.00"
322,108,1,Composition,1.67,7.93,"8.00,8.50,7.25,8.50,7.75,7.75,7.25,8.00,8.25"
323,108,2,Presentation,1.67,7.82,"8.25,8.25,7.00,8.75,7.50,7.75,7.25,7.25,8.50"
324,108,3,Skating Skills,1.67,8.36,"8.00,8.50,8.25,8.50,8.50,8.75,7.75,8.25,8.50"
325,109,1,Composition,1.67,8.64,"8.75,8.75,7.75,8.50,8.75,9.00,8.75,8.00,9.00"
326,109,2,Presentation,1.67,9.04,"8.75,9.00,8.50,9.00,9.25,9.50,9.25,8.75,9.25"
327,109,3,Skating Skills,1.67,8.61,"8.50,8.50,8.25,8.75,8.50,9.25,8.75,8.50,8.75"
328,110,1,Composition,1.67,7.32,"7.50,8.00,7.25,7.00,7.25,7.75,7.50,6.00,7.00"
329,110,2,Presentation,1.67,7.68,"7.75,8.25,7.50,7.25,7.75,8.00,7.75,7.50,7.50"
330,110,3,Skating Skills,1.67,7.36,"7.25,7.75,7.00,7.75,7.50,7.50,7.50,7.00,7.00"
331,111,1,Composition,1.67,7.5,"7.75,8.25,7.50,6.50,7.50,7.00,7.00,8.50,7.50"
332,111,2,Presentation,1.67,7.46,"8.00,8.00,7.50,6.75,8.00,6.75,6.75,8.25,7.25"
333,111,3,Skating Skills,1.67,7.54,"7.50,7.75,7.75,7.25,7.75,7.50,6.75,7.75,7.25"
334,112,1,Composition,1.67,8.0,"8.00,8.25,8.25,7.75,7.25,8.50,8.00,7.25,8.50"
335,112,2,Presentation,1.67,7.96,"8.25,8.00,8.50,7.50,7.50,8.00,8.25,7.50,8.25"
336,112,3,Skating Skills,1.67,8.0,"8.25,7.75,8.25,8.00,7.75,8.00,8.25,7.00,8.00"
337,113,1,Composition,1.67,7.32,"7.50,7.25,7.75,7.50,6.25,7.75,5.75,7.75,7.25"
338,113,2,Presentation,1.67,7.68,"7.75,7.75,8.25,7.75,6.75,8.00,6.75,8.25,7.50"
339,113,3,Skating Skills,1.67,7.39,"7.25,7.50,7.75,7.25,7.00,7.75,7.25,7.50,7.25"
340,114,1,Composition,1.67,7.61,"7.75,8.00,7.50,7.25,7.75,8.00,7.25,6.75,7.75"
341,114,2,Presentation,1.67,7.93,"8.25,7.75,7.50,7.00,8.50,8.00,7.50,8.50,8.00"
342,114,3,Skating Skills,1.67,7.86,"7.75,8.00,8.25,7.50,8.25,8.50,7.50,7.50,7.75"
343,115,1,Composition,1.67,7.14,"7.25,7.25,6.75,7.25,7.00,7.25,6.25,7.25,7.25"
344,115,2,Presentation,1.67,7.29,"7.25,7.50,6.75,7.50,7.25,7.50,6.75,7.50,7.25"
345,115,3,Skating Skills,1.67,7.61,"7.50,8.00,7.50,7.75,7.50,7.75,7.25,7.75,7.50"
346,116,1,Composition,1.67,6.82,"7.00,7.50,7.50,6.75,6.50,6.75,6.00,6.00,7.25"
347,116,2,Presentation,1.67,6.96,"7.25,7.50,7.25,6.50,7.00,6.50,6.25,7.25,7.00"
348,116,3,Skating Skills,1.67,7.0,"7.25,7.25,7.25,6.75,6.75,7.00,7.00,7.00,6.75"
349,117,1,Composition,2.67,8.68,"8.75,8.25,8.50,9.00,8.75,8.00,8.50,9.25,9.00"
350,117,2,Presentation,2.67,8.96,"9.00,8.75,9.25,9.25,9.00,8.25,8.75,9.50,8.75"
351,117,3,Skating Skills,2.67,9.0,"9.25,9.25,9.00,9.25,8.50,8.50,9.00,9.00,9.00"
352,118,1,Composition,2.67,8.89,"9.25,9.00,8.75,9.25,8.50,7.75,8.75,8.75,9.25"
353,118,2,Presentation,2.67,9.07,"9.00,9.25,9.00,9.50,8.50,8.50,9.00,9.25,9.50"
354,118,3,Skating Skills,2.67,8.64,"8.75,8.75,8.75,9.00,8.25,8.25,8.75,8.50,8.75"
355,119,1,Composition,2.67,8.11,"8.50,7.75,7.75,8.25,7.75,7.25,8.25,8.50,8.50"
356,119,2,Presentation,2.67,8.36,"8.00,8.50,8.25,8.75,8.00,7.50,8.75,8.50,8.50"
357,119,3,Skating Skills,2.67,8.39,"8.25,8.50,8.50,8.50,8.25,8.25,8.50,8.25,8.75"
358,120,1,Composition,2.67,8.04,"8.25,8.00,8.25,8.50,8.00,7.50,8.00,7.75,8.00"
359,120,2,Presentation,2.67,8.14,"8.00,8.75,8.50,8.75,7.75,7.75,8.25,8.00,7.75"
360,120,3,Skating Skills,2.67,7.93,"7.50,8.25,8.00,8.50,7.75,8.00,7.75,7.50,8.25"
361,121,1,Composition,2.67,8.18,"8.25,7.50,8.00,8.50,8.50,7.50,8.50,8.00,8.75"
362,121,2,Presentation,2.67,8.07,"7.75,8.00,8.25,8.00,8.00,7.25,8.25,8.25,8.25"
363,121,3,Skating Skills,2.67,7.79,"8.00,7.25,7.50,8.50,7.75,7.50,8.00,7.75,8.00"
364,122,1,Composition,2.67,8.11,"7.75,8.00,8.75,8.75,7.75,8.25,7.50,7.50,8.75"
365,122,2,Presentation,2.67,8.18,"7.50,8.50,8.75,8.50,8.25,8.25,7.75,7.75,8.25"
366,122,3,Skating Skills,2.67,8.11,"7.75,8.25,8.25,8.25,7.75,8.50,8.00,7.25,8.50"
367,123,1,Composition,2.67,6.61,"6.75,6.25,6.75,7.25,6.75,6.00,5.75,6.50,7.50"
368,123,2,Presentation,2.67,6.82,"6.25,7.00,7.00,7.25,7.25,6.25,5.25,6.75,8.00"
369,123,3,Skating Skills,2.67,7.21,"7.25,7.25,7.25,7.50,7.25,7.25,6.25,6.75,7.75"
370,124,1,Composition,2.67,6.5,"6.50,6.50,6.75,6.25,7.00,6.50,6.00,6.75,6.25"
371,124,2,Presentation,2.67,6.68,"7.25,7.25,7.00,6.25,7.25,6.25,5.75,6.25,6.50"
372,124,3,Skating Skills,2.67,6.79,"6.75,6.75,6.75,6.50,7.00,6.75,6.75,6.75,7.00"
373,125,1,Composition,2.67,7.39,"7.25,7.75,7.25,7.25,7.75,7.00,7.75,7.25,7.25"
374,125,2,Presentation,2.67,7.07,"6.50,7.25,7.25,7.25,7.25,6.50,7.25,6.75,7.50"
375,125,3,Skating Skills,2.67,7.5,"7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.25,7.75"
376,126,1,Composition,2.67,5.64,"5.75,5.00,6.00,6.00,5.75,5.50,5.50,5.75,5.25"
377,126,2,Presentation,2.67,5.89,"6.00,6.25,6.50,6.50,5.50,5.50,5.00,6.00,5.50"
378,126,3,Skating Skills,2.67,6.32,"6.25,6.00,6.75,6.75,6.25,6.00,6.00,6.50,6.50"
379,127,1,Composition,2.67,6.36,"5.50,4.50,6.75,7.00,6.75,5.75,6.50,6.75,6.50"
380,127,2,Presentation,2.67,6.46,"5.75,6.25,7.00,7.50,7.00,5.50,6.00,6.50,6.75"
381,127,3,Skating Skills,2.67,7.14,"6.75,7.25,7.25,7.50,7.25,6.75,7.00,7.25,7.25"
382,128,1,Composition,2.67,6.68,"6.75,5.25,6.25,6.75,7.25,6.25,6.75,7.25,6.75"
383,128,2,Presentation,2.67,6.64,"6.50,6.50,6.50,7.00,6.75,6.00,6.50,6.75,7.00"
384,128,3,Skating Skills,2.67,6.75,"7.00,5.75,6.75,7.75,7.00,6.50,6.25,7.00,6.75"
385,129,1,Composition,1.33,8.29,"8.75,8.75,8.50,8.00,8.25,8.00,8.00,8.25,8.25"
386,129,2,Presentation,1.33,8.36,"9.00,8.25,8.50,8.25,8.50,8.00,8.25,8.50,8.25"
387,129,3,Skating Skills,1.33,8.57,"8.75,9.25,8.75,8.00,8.50,8.25,8.50,8.50,8.75"
388,130,1,Composition,1.33,8.64,"9.50,9.00,8.50,8.50,8.50,8.00,8.50,8.50,9.00"
389,130,2,Presentation,1.33,8.86,"9.25,9.25,8.75,8.75,8.75,8.25,8.75,8.50,9.25"
390,130,3,Skating Skills,1.33,8.61,"8.75,8.75,8.50,8.50,8.50,7.75,8.75,8.75,8.50"
391,131,1,Composition,1.33,8.29,"7.75,8.50,8.75,7.50,8.25,8.25,8.25,8.25,8.75"
392,131,2,Presentation,1.33,8.18,"7.50,8.50,8.50,7.50,8.25,8.00,8.00,8.75,8.50"
393,131,3,Skating Skills,1.33,7.75,"7.25,8.00,7.75,7.75,7.50,7.50,7.75,8.50,8.00"
394,132,1,Composition,1.33,7.75,"7.75,8.00,8.25,7.25,7.50,7.25,7.25,8.25,8.75"
395,132,2,Presentation,1.33,7.89,"8.25,7.75,8.50,7.75,7.75,7.50,7.50,8.00,8.25"
396,132,3,Skating Skills,1.33,8.11,"8.25,8.25,8.25,7.75,7.75,8.00,7.75,8.50,8.50"
397,133,1,Composition,1.33,7.89,"8.50,7.25,8.50,8.00,8.00,7.50,7.75,7.25,8.25"
398,133,2,Presentation,1.33,8.25,"8.75,8.50,8.25,8.50,8.25,8.00,8.25,7.00,8.00"
399,133,3,Skating Skills,1.33,8.04,"8.00,8.25,7.75,8.25,8.00,8.25,8.25,6.75,7.75"
400,134,1,Composition,1.33,7.93,"7.75,7.25,8.00,7.50,8.25,8.75,8.25,7.50,8.25"
401,134,2,Presentation,1.33,8.29,"8.25,8.25,8.75,7.75,8.75,8.50,8.50,7.00,8.00"
402,134,3,Skating Skills,1.33,7.89,"8.00,7.75,7.75,7.75,8.25,8.50,8.00,7.25,7.75"
403,135,1,Composition,1.33,7.68,"7.25,8.25,8.75,7.25,8.00,7.75,7.50,7.50,7.50"
404,135,2,Presentation,1.33,7.79,"7.75,8.25,9.00,7.25,7.50,7.50,8.00,7.75,7.75"
405,135,3,Skating Skills,1.33,7.61,"7.25,7.75,8.50,7.50,7.50,7.50,7.75,7.25,8.00"
406,136,1,Composition,1.33,6.82,"7.50,6.25,7.75,7.25,7.50,6.00,6.25,6.50,6.50"
407,136,2,Presentation,1.33,7.18,"7.75,6.75,8.00,7.75,7.50,6.25,7.00,6.75,6.75"
408,136,3,Skating Skills,1.33,7.0,"7.25,6.75,7.00,7.50,7.25,6.75,6.75,7.00,7.00"
409,137,1,Composition,1.33,6.75,"6.75,5.25,6.75,7.25,6.25,6.25,6.75,7.25,7.50"
410,137,2,Presentation,1.33,6.79,"7.00,6.25,7.25,7.25,6.50,6.50,6.25,7.00,7.00"
411,137,3,Skating Skills,1.33,7.25,"7.50,7.00,7.50,7.50,7.00,7.00,7.25,7.25,7.25"
412,138,1,Composition,1.33,6.39,"6.50,5.75,6.75,7.00,7.00,6.25,6.00,6.25,6.00"
413,138,2,Presentation,1.33,6.57,"6.75,6.50,7.00,7.50,7.25,6.00,5.75,6.75,5.75"
414,138,3,Skating Skills,1.33,6.75,"7.00,6.75,6.25,7.25,6.75,6.25,7.00,7.25,6.25"
415,139,1,Composition,1.33,6.11,"6.00,5.50,5.75,6.75,6.00,6.00,6.50,6.25,6.25"
416,139,2,Presentation,1.33,5.86,"6.25,6.25,5.25,6.50,5.50,5.25,6.00,5.75,6.00"
417,139,3,Skating Skills,1.33,6.18,"6.50,5.75,6.00,6.75,6.25,5.75,6.25,6.00,6.50"
418,140,1,Composition,1.33,6.93,"7.25,6.00,7.25,7.25,7.00,6.25,6.75,6.75,7.25"
419,140,2,Presentation,1.33,6.75,"6.75,6.50,7.50,6.75,7.50,6.00,6.50,6.25,7.00"
420,140,3,Skating Skills,1.33,7.25,"7.50,7.25,7.25,7.25,7.25,7.25,7.00,6.75,7.50"
421,141,1,Composition,3.33,8.79,"8.75,9.00,8.25,9.25,8.75,9.00,8.75,8.50,8.75"
422,141,2,Presentation,3.33,8.79,"8.50,8.75,8.50,8.75,9.00,9.00,8.75,9.00,8.75"
423,141,3,Skating Skills,3.33,8.93,"8.50,9.00,8.75,9.00,9.25,9.25,8.75,8.75,9.00"
424,142,1,Composition,3.33,8.61,"8.50,8.50,8.75,9.00,8.75,8.50,8.75,7.75,8.50"
425,142,2,Presentation,3.33,8.54,"8.50,8.50,8.75,8.50,9.00,8.50,8.75,8.25,8.25"
426,142,3,Skating Skills,3.33,8.57,"8.00,8.50,8.75,8.50,8.75,8.50,8.50,9.00,8.50"
427,143,1,Composition,3.33,8.0,"7.75,8.50,8.25,7.75,8.25,8.25,7.75,7.00,8.00"
428,143,2,Presentation,3.33,7.75,"8.00,8.25,7.50,7.25,8.25,8.25,7.25,6.75,7.75"
429,143,3,Skating Skills,3.33,7.82,"8.00,8.00,7.75,7.50,7.75,8.00,7.50,7.75,8.00"
430,144,1,Composition,3.33,8.04,"8.00,8.25,8.50,7.50,8.25,8.00,7.75,8.00,8.00"
431,144,2,Presentation,3.33,8.29,"8.25,8.00,8.75,7.75,8.50,8.50,8.25,8.25,8.25"
432,144,3,Skating Skills,3.33,8.07,"8.00,8.25,8.25,7.75,8.50,8.00,8.00,7.75,8.25"
433,145,1,Composition,3.33,8.0,"8.25,8.00,8.00,8.25,8.00,7.75,8.00,7.00,8.00"
434,145,2,Presentation,3.33,8.0,"8.25,7.75,8.25,8.00,8.25,7.75,7.75,7.50,8.25"
435,145,3,Skating Skills,3.33,8.21,"8.00,8.25,8.50,8.00,8.50,8.00,7.75,8.25,8.50"
436,146,1,Composition,3.33,8.64,"8.00,8.75,8.75,9.00,8.25,8.50,8.75,8.75,8.75"
437,146,2,Presentation,3.33,8.61,"8.25,8.75,8.75,8.50,8.50,8.50,8.50,9.00,8.75"
438,146,3,Skating Skills,3.33,8.61,"7.75,8.75,8.50,8.75,8.50,8.50,8.50,9.25,8.75"
439,147,1,Composition,3.33,7.96,"8.00,8.25,7.75,7.75,8.25,8.00,8.25,6.75,7.75"
440,147,2,Presentation,3.33,7.96,"7.50,7.75,8.50,7.75,8.00,8.50,8.00,7.75,8.00"
441,147,3,Skating Skills,3.33,7.96,"7.75,7.75,8.25,8.00,8.25,8.00,7.75,8.00,8.00"
442,148,1,Composition,3.33,7.21,"7.50,7.00,7.25,6.50,7.50,7.50,7.50,6.50,7.25"
443,148,2,Presentation,3.33,7.18,"7.25,6.50,7.00,6.75,7.25,7.50,7.25,7.50,7.25"
444,148,3,Skating Skills,3.33,7.32,"7.50,7.25,7.00,7.25,7.75,7.25,7.50,7.00,7.50"
445,149,1,Composition,3.33,7.61,"7.75,7.50,8.00,7.50,7.50,7.50,7.75,7.75,6.75"
446,149,2,Presentation,3.33,7.54,"7.75,7.75,8.25,7.25,7.25,7.25,7.50,8.00,7.00"
447,149,3,Skating Skills,3.33,7.68,"7.50,8.00,7.75,7.50,7.75,7.50,7.25,8.25,7.75"
448,150,1,Composition,3.33,7.46,"7.50,7.75,7.00,7.25,7.50,7.50,8.00,6.50,7.75"
449,150,2,Presentation,3.33,7.21,"7.00,8.00,7.25,6.75,7.25,7.50,7.50,6.75,7.25"
450,150,3,Skating Skills,3.33,7.43,"7.25,8.00,7.25,7.25,7.50,7.50,7.50,7.50,7.50"
451,151,1,Composition,3.33,6.57,"7.00,6.00,6.50,7.25,7.25,5.00,7.25,5.00,7.00"
452,151,2,Presentation,3.33,6.71,"7.75,6.25,7.50,7.25,6.75,5.50,6.75,5.75,6.75"
453,151,3,Skating Skills,3.33,6.89,"7.25,6.75,7.00,7.00,7.25,6.50,6.75,6.00,7.00"
454,152,1,Composition,3.33,6.36,"6.75,6.00,7.00,5.75,6.00,6.25,6.75,6.50,6.25"
455,152,2,Presentation,3.33,6.25,"6.50,6.00,7.25,5.50,5.75,6.00,6.50,7.00,6.00"
456,152,3,Skating Skills,3.33,6.32,"6.00,6.25,6.25,6.25,6.25,6.00,6.50,6.75,7.00"
457,153,1,Composition,1.67,8.75,"8.50,9.25,8.75,8.75,9.00,8.75,8.75,8.50,8.75"
458,153,2,Presentation,1.67,8.86,"8.50,9.25,8.75,8.50,8.75,8.75,9.25,9.00,9.00"
459,153,3,Skating Skills,1.67,8.54,"8.75,8.75,8.25,8.50,8.50,8.50,8.50,8.25,9.00"
460,154,1,Composition,1.67,7.68,"7.50,7.75,8.00,7.50,8.00,7.75,7.25,6.25,8.00"
461,154,2,Presentation,1.67,7.61,"8.00,7.75,7.50,7.25,7.75,7.75,7.50,7.25,7.75"
462,154,3,Skating Skills,1.67,7.36,"7.50,7.25,7.50,7.25,7.75,7.50,7.00,6.75,7.50"
463,155,1,Composition,1.67,8.71,"8.25,8.75,8.50,9.00,8.75,8.50,9.00,8.50,9.00"
464,155,2,Presentation,1.67,8.61,"8.50,8.75,8.50,8.50,8.50,8.50,8.75,8.75,8.75"
465,155,3,Skating Skills,1.67,8.82,"8.25,8.75,8.75,8.75,9.00,8.75,9.00,8.75,9.00"
466,156,1,Composition,1.67,8.75,"8.50,9.00,8.50,8.75,8.75,9.00,8.50,9.25,8.75"
467,156,2,Presentation,1.67,8.96,"8.75,9.25,8.75,8.75,8.50,9.00,9.00,9.50,9.25"
468,156,3,Skating Skills,1.67,8.71,"8.75,8.75,8.25,8.50,8.75,8.75,9.00,8.75,8.75"
469,157,1,Composition,1.67,8.0,"7.75,7.75,8.25,8.25,7.75,8.25,7.50,8.25,8.00"
470,157,2,Presentation,1.67,7.79,"7.50,7.50,8.00,7.75,7.50,8.00,8.00,7.75,8.25"
471,157,3,Skating Skills,1.67,7.64,"7.25,8.00,7.75,7.50,7.25,8.00,7.75,7.25,8.25"
472,158,1,Composition,1.67,7.71,"8.00,7.50,7.75,7.25,7.75,8.00,7.00,7.75,8.00"
473,158,2,Presentation,1.67,8.07,"8.25,7.75,8.50,7.75,8.00,8.00,7.50,8.50,8.25"
474,158,3,Skating Skills,1.67,7.86,"7.75,8.25,8.00,7.50,8.25,7.75,7.50,7.50,8.25"
475,159,1,Composition,1.67,7.75,"8.25,8.25,7.50,7.50,7.50,7.50,8.25,6.25,7.75"
476,159,2,Presentation,1.67,7.75,"8.00,7.75,7.75,7.75,7.50,8.25,8.00,6.00,7.50"
477,159,3,Skating Skills,1.67,8.32,"8.50,8.50,8.25,8.25,8.00,8.50,8.25,8.25,8.25"
478,160,1,Composition,1.67,7.96,"7.50,8.00,8.00,8.75,8.25,8.25,8.00,7.00,7.75"
479,160,2,Presentation,1.67,8.04,"8.00,7.75,8.25,8.50,7.75,8.25,8.25,8.00,7.75"
480,160,3,Skating Skills,1.67,7.93,"7.50,8.25,8.00,8.50,8.00,8.00,7.75,7.50,8.00"
481,161,1,Composition,1.67,7.71,"7.25,7.75,8.00,8.00,7.50,8.00,7.75,7.50,7.50"
482,161,2,Presentation,1.67,8.0,"7.75,7.75,8.25,8.25,7.75,8.00,7.50,8.50,8.25"
483,161,3,Skating Skills,1.67,7.75,"7.50,8.25,7.75,7.75,7.75,7.75,7.50,7.75,8.00"
